WAV Whisper 批量识别报告
生成时间: 2026-09-25 22:23:02 UTC
文件数量: 44

### debug_1789433857.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 210560
- duration_sec: 13.16
- asr_ms: 775
- text: 啊

### debug_1789433874.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 30400
- duration_sec: 1.9
- asr_ms: 637
- text: 就是跟您打个招呼

### debug_1789433993.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 1359360
- duration_sec: 84.96
- asr_ms: 5206
- text: (我看你)(我看你不懂我)(我看你不懂我)

### debug_1789437491.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 10944
- duration_sec: 0.684
- asr_ms: 590
- text: OK

### debug_1789437563.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 774272
- duration_sec: 48.392
- asr_ms: 1000
- text: 今天天气怎么样今天天气怎么样今天天气怎么样今天天气怎么样

### debug_1789437654.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 28672
- duration_sec: 1.792
- asr_ms: 521
- text: 作个下周出去玩的计划

### debug_1789438130.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 1336000
- duration_sec: 83.5
- asr_ms: 3743
- text: (我看你)(我看你不懂我)(我看你不看你)

### debug_1789439084.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 1192960
- duration_sec: 74.56
- asr_ms: 3206
- text: 来1 21 2

### debug_1789439107.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 29760
- duration_sec: 1.86
- asr_ms: 574
- text: 去央默定要做哪两车

### debug_1789439151.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 55488
- duration_sec: 3.468
- asr_ms: 624
- text: 是在橫冰的陽光台要去陰木丁

### debug_1789439183.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 62272
- duration_sec: 3.892
- asr_ms: 561
- text: 说的是衡兵的阳光台到阳木兵

### debug_1789454101.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 7616
- duration_sec: 0.476
- asr_ms: 2005
- text: (不幸)

### debug_1789454121.wav
- sample_rate: 16000
- channels: 1
- sample_width: 16
- frames: 7744
- duration_sec: 0.484
- asr_ms: 510
- text: (不幸)

### debug_1789454147.wav
