编号,文件名,Whisper识别结果,人工确认结果,人工确认内容
1,debug_1789433857.wav,啊,正确,
2,debug_1789433874.wav,就是跟您打个招呼,不全正确,音频前段还有几个词没有收录进来，是录音的问题。识别没有问题
3,debug_1789433993.wav,(我看你)(我看你不懂我)(我看你不懂我),错误,背景全是杂音，没有说话
4,debug_1789437491.wav,OK,不全正确,录音过短，无法判断内容
5,debug_1789437563.wav,今天天气怎么样今天天气怎么样今天天气怎么样今天天气怎么样,不全正确,录音里只说了一遍今天天气怎么样，后面都是杂音
6,debug_1789437654.wav,作个下周出去玩的计划,不全正确,音频前段还有几个词没有收录进来，是录音的问题。识别没有问题
7,debug_1789438130.wav,(我看你)(我看你不懂我)(我看你不看你),错误,背景全是杂音，没有说话
8,debug_1789439084.wav,来1 21 2,错误,背景全是杂音，没有说话
9,debug_1789439107.wav,去央默定要做哪两车,不全正确,去樱木町要做哪两车。录音前面少大概1秒，没有录上
10,debug_1789439151.wav,是在橫冰的陽光台要去陰木丁,不全正确,我是在橫滨的陽光台要去樱木町
11,debug_1789439183.wav,说的是衡兵的阳光台到阳木兵,不全正确,我说的是橫滨的陽光台到樱木町
12,debug_1789454101.wav,(不幸),错误,背景全是杂音，没有说话
13,debug_1789454121.wav,(不幸),错误,背景全是杂音，没有说话
14,debug_1789454147.wav,不好不好吃吗,不全正确,泡芙好吃吗
15,debug_1789535334.wav,謝謝,错误,背景全是杂音，没有说话
16,debug_1789535356.wav,(鸡魚),错误,背景全是杂音，没有说话
17,debug_1790151468.wav,( 音樂),错误,背景全是杂音，录音错误
18,debug_1790158102.wav,謝謝,错误,背景全是杂音，没有说话
19,debug_1790159016.wav,(不幸),错误,背景全是杂音，没有说话
20,debug_1790159034.wav,謝謝,错误,背景全是杂音，没有说话
21,debug_1790159649.wav,我可以給你一個貼格的東西,错误,背景全是杂音，没有说话
22,debug_1790159677.wav,謝謝,错误,背景全是杂音，没有说话
23,debug_1790161890.wav,謝謝,错误,背景有杂音，录音不完整。语音是干嘛呢
24,debug_1790161906.wav,戴上了呢,错误,语音是干什么呢
25,debug_1790161978.wav,"大力,所以我都会说",不全正确,录音不清楚，无法判断内容
26,debug_1790162166.wav,謝謝,错误,背景全是杂音，没有说话
27,debug_1790162638.wav,好,错误,背景全是杂音，没有说话
28,debug_1790163145.wav,謝謝,错误,背景全是杂音，没有说话
29,debug_1790163180.wav,(不幸),错误,背景全是杂音，没有说话
30,debug_1790163233.wav,(大陸: 民主人),不全正确,录音不清楚，无法判断内容
31,debug_1790163258.wav,(不幸),不全正确,录音不清楚，无法判断内容
32,debug_1790163277.wav,(不幸),不全正确,录音不清楚，无法判断内容
33,debug_1790163413.wav,(笑),不全正确,录音不清楚，无法判断内容
34,debug_1790163441.wav,(在那裡有一個人),不全正确,录音不清楚，无法判断内容
35,debug_1790163705.wav,你,不全正确,录音不清楚，无法判断内容
36,debug_1790163854.wav,(不幸),不全正确,录音不清楚，无法判断内容
37,debug_1790164111.wav,(不幸),不全正确,录音不清楚，无法判断内容
38,debug_1790167045.wav,(不幸),不全正确,录音不清楚，无法判断内容
39,debug_1790167283.wav,我自己的心情是很好的,不全正确,录音不清楚，无法判断内容
40,debug_1790167316.wav,"好,我們來吧!",不全正确,录音不清楚，无法判断内容
41,debug_1790167366.wav,"好,好,好,好",不全正确,录音不清楚，无法判断内容
42,debug_1790167389.wav,我想天天唱著不,不全正确,我想听你唱首歌
43,debug_1790167409.wav,"你手外,本地天安門",不全正确,唱一首我爱北京天安門
44,debug_1790167470.wav,(不幸),不全正确,录音不清楚，无法判断内容
